Arabic,EnglishOri,ArLength,EnLength,English
كما,as,3,2,As
أنا,I,3,1,I
له,his,2,3,His
أن,that,2,4,That
هو,he,2,2,He
كان,was,3,3,Was
إلى,for,3,3,For
في,on,2,2,On
هي,are,2,3,Are
مع,with,2,4,With
هم,they,2,4,They
يكون,be,4,2,Be
في,at,2,2,At
واحد,one,4,3,One
ديك,have,3,4,Have
هذا,this,3,4,This
من,from,2,4,From
بواسطة,by,6,2,By
حار,hot,3,3,Hot
كلمة,word,4,4,Word
لكن,but,3,3,But
ما,what,2,4,What
بعض,some,3,4,Some
هو,is,2,2,Is
هو,it,2,2,It
أنت,you,3,3,You
أو,or,2,2,Or
كان,had,3,3,Had
و,the,1,3,The
من,of,2,2,Of
إلى,to,3,2,To
و,and,1,3,And
و,a,1,1,A
في,in,2,2,In
نحن,we,3,2,We
علبة,can,4,3,Can
خارج,out,4,3,Out
البعض,other,5,5,Other
و,were,1,4,Were
التي,which,4,5,Which
القيام,do,6,2,Do
من,their,2,5,Their
الوقت,time,5,4,Time
إذا,if,3,2,If
سوف,will,3,4,Will
كيف,how,3,3,How
قال,said,3,4,Said
و,an,1,2,An
كل,each,2,4,Each
أقول,tell,4,4,Tell
لا,does,2,4,Does
مجموعة,set,6,3,Set
ثلاثة,three,5,5,Three
تريد,want,4,4,Want
هواء,air,4,3,Air
جيد,well,3,4,Well
أيضا,also,4,4,Also
لعب,play,3,4,Play
صغير,small,4,5,Small
نهاية,end,5,3,End
وضع,put,3,3,Put
المنزل,home,6,4,Home
قرأ,read,3,4,Read
يد,hand,2,4,Hand
ميناء,port,5,4,Port
كبير,large,4,5,Large
تهجى,spell,4,5,Spell
إضافة,add,5,3,Add
حتى,even,3,4,Even
الأرض,land,5,4,Land
هنا,here,3,4,Here
يجب,must,3,4,Must
كبير,big,4,3,Big
ارتفاع,high,6,4,High
مثل,such,3,4,Such
تابع,follow,4,6,Follow
فعل,act,3,3,Act
لماذا,why,5,3,Why
تطلب,ask,4,3,Ask
الرجال,men,6,3,Men
تغيير,change,5,6,Change
ذهب,went,3,4,Went
ضوء,light,3,5,Light
نوع,kind,3,4,Kind
بعيدا,off,5,3,Off
تحتاج,need,5,4,Need
منزل,house,4,5,House
صور,picture,3,7,Picture
محاولة,try,6,3,Try
لنا,us,3,2,Us
مرة أخرى,again,8,5,Again
الحيوان,animal,7,6,Animal
نقطة,point,4,5,Point
أم,mother,2,6,Mother
العالم,world,6,5,World
قرب,near,3,4,Near
بناء,build,4,5,Build
النفس,self,5,4,Self
أرض,earth,3,5,Earth
الأب,father,4,6,Father
أي,any,2,3,Any
جديدة,new,5,3,New
العمل,work,5,4,Work
جزء,part,3,4,Part
أخذ,take,3,4,Take
الحصول على,get,10,3,Get
مكان,place,4,5,Place
مصنوع,made,5,4,Made
حي,live,2,4,Live
حيث,where,3,5,Where
بعد,after,3,5,After
ظهر,back,3,4,Back
القليل,little,6,6,Little
فقط,only,3,4,Only
جولة,round,4,5,Round
رجل,man,3,3,Man
عام,year,3,4,Year
جاء,came,3,4,Came
المعرض,show,6,4,Show
كل,every,2,5,Every
جيد,good,3,4,Good
أنا,me,3,2,Me
منح,give,3,4,Give
لدينا,our,5,3,Our
تحت,under,3,5,Under
اسم,name,3,4,Name
جدا,very,3,4,Very
من خلال,through,7,7,Through
فقط,just,3,4,Just
شكل,form,3,4,Form
عقوبة,sentence,5,8,Sentence
عظيم,great,4,5,Great
اعتقد,think,5,5,Think
قول,say,3,3,Say
مساعدة,help,6,4,Help
منخفض,low,5,3,Low
خط,line,2,4,Line
اختلف,differ,5,6,Differ
منعطف,turn,5,4,Turn
السبب,cause,5,5,Cause
كثيرا,much,5,4,Much
متوسط,mean,5,4,Mean
قبل,before,3,6,Before
خطوة,move,4,4,Move
الحق,right,4,5,Right
صبي,boy,3,3,Boy
قديم,old,4,3,Old
أيضا,too,4,3,Too
نفسه,same,4,4,Same
هي,she,2,3,She
كل,all,2,3,All
هناك,there,4,5,There
عندما,when,5,4,When
